,Instrument_name,Beta,Expected_return
0,Nifty50,1.0,10.97
1,ADANIENT,1.0603957979812013,11.22
2,ADANIPORTS,1.0557748921910575,11.2
3,APOLLOHOSP,0.5485152665390961,9.08
4,ASIANPAINT,0.45879243243487516,8.7
5,AXISBANK,1.2249695200825155,11.91
6,BAJAJ-AUTO,0.7260289628194142,9.82
7,BAJAJFINSV,0.859767108772331,10.38
8,BAJFINANCE,0.82788562872658,10.25
9,BEL,0.7884811732070862,10.08
10,BHARTIARTL,0.8689777229736664,10.42
11,BRITANNIA,0.361918516561155,8.3
12,CIPLA,0.5630050403397687,9.14
13,COALINDIA,0.8847252823458676,10.49
14,DRREDDY,0.4849438563303994,8.81
15,EICHERMOT,0.768301568856525,10.0
16,GRASIM,0.8916809528366997,10.52
17,HCLTECH,0.8877971055738606,10.5
18,HDFCBANK,0.941372627121971,10.72
19,HDFCLIFE,0.9153252178567779,10.62
20,HEROMOTOCO,0.7544549336186678,9.94
21,HINDALCO,1.2543305557997693,12.04
22,HINDUNILVR,0.5854258980645788,9.23
23,ICICIBANK,1.3055689632124734,12.25
24,INDUSINDBK,1.2792017835991987,12.14
25,INFY,0.7797553661482353,10.05
26,ITC,0.6791443938123957,9.63
27,JSWSTEEL,1.2874351471377292,12.17
28,KOTAKBANK,1.1258729703310064,11.5
29,LT,1.1165332906178684,11.46
30,M&M,1.019501875045532,11.05
31,MARUTI,0.9117040626198689,10.6
32,NESTLEIND,0.428126237434531,8.57
33,NTPC,0.7977628685862664,10.12
34,ONGC,1.063448324181609,11.24
35,POWERGRID,0.7988073538051634,10.13
36,RELIANCE,1.1003249077026254,11.39
37,SBILIFE,0.7822525839774048,10.06
38,SBIN,1.1777230737036697,11.71
39,SHRIRAMFIN,0.796321295246469,10.12
40,SUNPHARMA,0.5347162208905698,9.02
41,TATACONSUM,0.7724775527233608,10.02
42,TATAMOTORS,1.1978662995701583,11.8
43,TATASTEEL,1.510507651294587,13.11
44,TCS,0.7730575472313735,10.02
45,TECHM,1.0062051062301538,11.0
46,TITAN,0.9227132903054928,10.65
47,TRENT,0.6104552311451008,9.34
48,ULTRACEMCO,0.8170015103824446,10.2
49,WIPRO,0.8805163706626337,10.47
